,_id,execution energy,execution time,implementation,loop,name,warmup energy,warmup time
600,5bf6a69e25b96d0037088fe2,1461.1787109375,41,cpython2,40,tommtiv1cpython2int40n0,172.5190429688,5
610,5bf6a69e25b96d0037088fec,1526.9216308594,43,cpython2,40,tommtiv1cpython2int40n1,175.5173339844,5
620,5bf6a69e25b96d0037088ff6,1418.6845703125,40,cpython2,40,tommtiv1cpython2int40n2,172.1596679688,5
630,5bf6a69e25b96d0037089000,1455.5010375977,41,cpython2,40,tommtiv1cpython2int40n3,171.2968139648,5
640,5bf6a69e25b96d003708900a,1424.4509887695,40,cpython2,40,tommtiv1cpython2int40n4,140.2130737305,4
650,5bf6a69e25b96d0037089014,1422.2040405273,40,cpython2,40,tommtiv1cpython2int40n5,171.3511962891,5
660,5bf6a69e25b96d003708901e,1385.8318481445,39,cpython2,40,tommtiv1cpython2int40n6,173.94140625,5
670,5bf6a69e25b96d0037089028,1422.7096557617,40,cpython2,40,tommtiv1cpython2int40n7,177.0624389648,5
680,5bf6a69e25b96d0037089032,1418.7658081055,40,cpython2,40,tommtiv1cpython2int40n8,134.4332885742,4
690,5bf6a69e25b96d003708903c,1419.3240356445,40,cpython2,40,tommtiv1cpython2int40n9,166.1669921875,5
700,5bf6a69e25b96d0037089046,1409.416015625,40,cpython2,40,tommtiv1cpython2int40n10,165.9840087891,5
710,5bf6a69e25b96d0037089050,1411.0097045898,40,cpython2,40,tommtiv1cpython2int40n11,171.3009033203,5
720,5bf6a69e25b96d003708905a,1408.8820800781,40,cpython2,40,tommtiv1cpython2int40n12,166.3818969727,5
730,5bf6a69e25b96d0037089064,1411.5130615234,40,cpython2,40,tommtiv1cpython2int40n13,172.3638916016,5
740,5bf6a69e25b96d003708906e,1416.3337402344,40,cpython2,40,tommtiv1cpython2int40n14,172.7476196289,5
750,5bf6a69e25b96d0037089078,1417.5950317383,40,cpython2,40,tommtiv1cpython2int40n15,163.5990600586,5
760,5bf6a69e25b96d0037089082,1386.5912475586,39,cpython2,40,tommtiv1cpython2int40n16,173.8391113281,5
770,5bf6a69e25b96d003708908c,1419.2066650391,40,cpython2,40,tommtiv1cpython2int40n17,168.2484741211,5
780,5bf6a69e25b96d0037089096,1453.9970092773,41,cpython2,40,tommtiv1cpython2int40n18,172.0856323242,5
790,5bf6a69e25b96d00370890a0,1394.9836425781,40,cpython2,40,tommtiv1cpython2int40n19,172.3595581055,5
800,5bf6a69e25b96d00370890aa,1421.7415771484,40,cpython2,40,tommtiv1cpython2int40n20,177.1408691406,5
810,5bf6a69e25b96d00370890b4,1422.9225463867,40,cpython2,40,tommtiv1cpython2int40n21,163.1395263672,5
820,5bf6a69e25b96d00370890be,1421.4190673828,40,cpython2,40,tommtiv1cpython2int40n22,162.2723999023,5
830,5bf6a69e25b96d00370890c8,1388.0419921875,39,cpython2,40,tommtiv1cpython2int40n23,169.8086547852,5
840,5bf6a69e25b96d00370890d2,1421.8330078125,40,cpython2,40,tommtiv1cpython2int40n24,165.868347168,5
850,5bf6a69e25b96d00370890dc,1423.6129760742,40,cpython2,40,tommtiv1cpython2int40n25,170.9020996094,5
860,5bf6a69e25b96d00370890e6,1423.2337646484,40,cpython2,40,tommtiv1cpython2int40n26,171.3193969727,5
870,5bf6a69e25b96d00370890f0,1423.6312866211,40,cpython2,40,tommtiv1cpython2int40n27,172.3883666992,5
880,5bf6a69e25b96d00370890fa,1422.4683837891,40,cpython2,40,tommtiv1cpython2int40n28,173.2455444336,5
890,5bf6a69e25b96d0037089104,1424.7728271484,40,cpython2,40,tommtiv1cpython2int40n29,169.6185302734,5
